,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,MEAN_PTS_H,MEAN_FG_PCT_H,MEAN_FT_PCT_H,MEAN_FG3_PCT_H,MEAN_AST_H,MEAN_REB_H,MEAN_TOV_H,OPP_TEAM_ABBREVIATION,OPP_TEAM_WINS,OPP_TEAM_LOSSES,OPP_PTS,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,MEAN_PTS_A,MEAN_FG_PCT_A,MEAN_FT_PCT_A,MEAN_FG3_PCT_A,MEAN_AST_A,MEAN_REB_A,MEAN_TOV_A,W/L 1/0,LAST_2_MH,LAST_3_MH,LAST_5_MH,LAST_2_MA,LAST_3_MA,LAST_5_MA
333,6724,2019-12-08,BKN,13,10,105,25,28,29,23,46.0,78.3,25.0,25,48,11,1,115.85714285714286,28.38095238095238,30.61904761904762,28.80952380952381,26.19047619047619,46.34285714285714,74.4904761904762,38.080952380952375,24.857142857142858,47.476190476190474,16.142857142857142,116.3,47.46,69.31000000000002,41.17,24.7,48.1,19.0,DEN,14,7,102,106.0909090909091,26.136363636363637,25.681818181818183,26.454545454545453,26.454545454545453,44.481818181818184,75.89999999999999,32.699999999999996,25.40909090909091,46.63636363636363,13.318181818181818,104.81818181818181,42.99999999999999,77.71818181818183,35.46363636363636,24.0,47.09090909090909,14.181818181818182,1,1.0,2.0,2.0,1.0,2.0,3.0
334,6725,2019-12-08,CHA,9,16,107,27,26,30,24,40.0,82.8,35.5,22,44,11,1,105.27272727272727,28.272727272727273,27.363636363636363,25.454545454545453,23.772727272727273,44.67727272727273,76.40454545454546,36.21363636363635,24.454545454545453,41.59090909090909,15.545454545454545,106.0,44.676923076923075,74.43846153846154,36.215384615384615,25.307692307692307,41.38461538461539,16.23076923076923,ATL,6,17,122,107.9047619047619,24.857142857142858,28.142857142857142,26.523809523809526,27.61904761904762,45.609523809523814,74.61904761904763,31.447619047619053,23.61904761904762,42.95238095238095,16.952380952380953,109.22222222222223,44.633333333333326,79.07777777777778,31.700000000000003,24.22222222222222,40.666666666666664,16.333333333333332,0,1.0,1.0,2.0,2.0,3.0,5.0
335,6726,2019-12-08,MIA,17,6,110,16,31,27,23,41.6,79.5,31.4,20,43,17,1,111.66666666666667,29.208333333333332,28.291666666666668,25.666666666666668,26.333333333333332,46.97083333333333,77.05,38.020833333333336,25.208333333333332,45.0,15.791666666666666,119.8,49.69,79.94,41.72,26.9,46.5,17.2,CHI,8,16,105,105.20833333333333,26.5,25.708333333333332,27.291666666666668,25.708333333333332,43.449999999999996,73.43750000000001,34.27916666666666,22.666666666666668,42.416666666666664,14.5,107.5,43.90833333333333,74.55000000000001,34.791666666666664,22.75,40.333333333333336,13.083333333333334,1,2.0,3.0,4.0,1.0,2.0,2.0
336,6727,2019-12-08,PHI,17,7,110,27,30,29,24,50.6,76.2,43.8,31,40,17,1,109.27272727272727,29.318181818181817,27.0,27.818181818181817,25.136363636363637,46.436363636363645,74.0409090909091,36.01363636363636,26.545454545454547,46.5,15.409090909090908,112.4,49.18,77.07000000000001,36.3,27.5,48.8,15.1,TOR,15,7,104,112.9047619047619,26.80952380952381,28.428571428571427,30.523809523809526,26.428571428571427,45.48095238095239,80.03809523809524,38.96190476190476,25.333333333333332,45.523809523809526,14.285714285714286,109.54545454545455,44.236363636363635,80.11818181818184,39.00000000000001,24.0,45.0,14.909090909090908,1,2.0,3.0,5.0,0.0,0.0,0.0
337,6728,2019-12-08,WAS,7,15,119,25,39,29,26,45.5,83.3,42.4,28,38,13,1,116.38095238095238,28.857142857142858,30.38095238095238,28.238095238095237,28.38095238095238,47.728571428571435,79.9,36.09523809523809,27.047619047619047,41.76190476190476,14.238095238095237,117.55555555555556,49.77777777777778,76.27777777777777,37.52222222222222,26.333333333333332,42.111111111111114,15.777777777777779,LAC,17,7,135,112.69565217391305,26.47826086956522,29.565217391304348,27.130434782608695,29.08695652173913,44.73913043478261,77.08695652173913,34.06521739130435,22.782608695652176,49.47826086956522,14.826086956521738,109.27272727272727,43.89090909090909,77.71818181818182,34.61818181818182,23.0,46.72727272727273,14.272727272727273,0,1.0,1.0,3.0,2.0,2.0,2.0
338,6729,2019-12-09,DAL,16,7,106,27,19,32,28,47.7,87.5,38.6,24,40,12,1,118.19047619047619,29.80952380952381,31.0,29.523809523809526,27.523809523809526,46.061904761904756,75.68571428571427,36.33809523809524,23.761904761904763,47.714285714285715,11.952380952380953,114.6,45.11,77.92999999999999,33.76,22.4,48.7,13.9,SAC,9,13,110,104.85714285714286,25.523809523809526,27.095238095238095,25.428571428571427,25.761904761904763,44.08571428571429,74.57619047619049,32.390476190476186,22.666666666666668,42.57142857142857,14.619047619047619,105.0,44.15714285714286,73.22857142857143,33.1,23.214285714285715,42.07142857142857,14.357142857142858,0,2.0,2.0,3.0,2.0,3.0,4.0
339,6730,2019-12-09,POR,9,15,96,20,27,31,18,36.0,83.3,27.3,16,51,8,1,115.0,27.818181818181817,27.40909090909091,29.40909090909091,28.863636363636363,46.127272727272725,82.47727272727273,35.25,19.772727272727273,46.5,13.272727272727273,119.0909090909091,46.936363636363645,85.02727272727272,39.20909090909091,20.0,46.63636363636363,13.636363636363637,OKC,10,12,108,111.04761904761905,27.80952380952381,27.904761904761905,27.523809523809526,27.0,48.04285714285714,78.82380952380953,38.65714285714285,22.19047619047619,41.904761904761905,13.333333333333334,107.0,46.400000000000006,80.36666666666666,37.599999999999994,20.0,41.44444444444444,12.333333333333334,0,1.0,2.0,3.0,1.0,1.0,1.0
340,6731,2019-12-09,LAL,21,3,142,39,34,37,32,58.5,90.0,45.2,32,41,10,1,113.3913043478261,29.17391304347826,28.956521739130434,29.0,25.565217391304348,48.217391304347814,73.30869565217391,36.11739130434782,26.043478260869566,45.47826086956522,14.347826086956522,109.875,47.349999999999994,79.075,33.275,27.5,48.125,16.125,MIN,10,12,125,113.9090909090909,28.136363636363637,28.0,28.454545454545453,27.5,44.15,74.19090909090909,33.09090909090909,24.59090909090909,47.27272727272727,14.363636363636363,118.54545454545455,46.327272727272735,74.42727272727272,37.69090909090909,25.636363636363637,44.45454545454545,14.909090909090908,1,1.0,2.0,3.0,2.0,2.0,3.0
341,6732,2019-12-10,IND,15,9,99,19,29,25,26,35.1,75.0,28.6,16,55,13,1,110.66666666666667,26.458333333333332,28.333333333333332,28.541666666666668,26.583333333333332,48.949999999999996,80.23333333333333,38.300000000000004,25.708333333333332,41.708333333333336,13.166666666666666,112.7,48.4,81.9,34.019999999999996,25.0,45.8,14.1,LAC,18,7,110,113.625,26.833333333333332,29.583333333333332,27.458333333333332,29.333333333333332,45.04583333333333,76.96249999999999,34.208333333333336,22.958333333333332,49.291666666666664,14.625,111.41666666666667,44.574999999999996,77.41666666666667,34.858333333333334,23.333333333333332,46.583333333333336,13.916666666666666,0,2.0,3.0,5.0,1.0,2.0,2.0
342,6733,2019-12-10,BOS,17,5,110,29,24,30,27,57.7,62.5,55.6,22,39,18,1,113.71428571428571,25.857142857142858,27.761904761904763,30.047619047619047,29.714285714285715,46.057142857142864,79.66190476190476,36.03809523809524,24.285714285714285,45.61904761904762,12.0,117.27272727272727,47.26363636363636,83.77272727272727,38.53636363636364,24.727272727272727,45.72727272727273,11.181818181818182,CLE,5,18,88,103.0909090909091,25.772727272727273,24.272727272727273,26.0,27.045454545454547,43.46363636363637,76.56363636363638,33.48636363636364,21.227272727272727,44.31818181818182,14.090909090909092,100.625,41.6875,81.4,29.175,19.125,44.375,13.625,1,2.0,3.0,5.0,2.0,3.0,3.0
343,6734,2019-12-10,CHI,8,17,92,30,21,20,21,39.3,71.4,26.1,30,45,14,1,105.2,26.44,25.64,27.16,25.64,43.464,73.76,34.352,22.56,42.28,14.48,102.91666666666667,42.99166666666665,72.325,33.766666666666666,22.583333333333332,44.5,15.916666666666666,TOR,16,7,93,112.5,26.59090909090909,28.045454545454547,30.318181818181817,26.863636363636363,45.37727272727273,80.26363636363637,38.70454545454545,25.136363636363637,45.36363636363637,14.409090909090908,109.08333333333333,44.15,80.52500000000002,38.525000000000006,23.75,44.75,15.083333333333334,0,1.0,1.0,2.0,1.0,1.0,1.0
344,6735,2019-12-10,HOU,15,8,118,28,36,29,25,48.8,82.6,34.0,25,51,19,1,120.13636363636364,28.363636363636363,31.818181818181817,30.227272727272727,28.90909090909091,44.98181818181818,78.22272727272728,33.481818181818184,22.863636363636363,47.72727272727273,15.454545454545455,120.45454545454545,45.527272727272724,78.34545454545454,33.0,23.545454545454547,49.18181818181818,13.909090909090908,SAC,10,13,119,105.0909090909091,26.0,27.227272727272727,25.454545454545453,25.40909090909091,44.43636363636364,74.90454545454547,32.654545454545456,22.727272727272727,42.22727272727273,14.318181818181818,105.33333333333333,44.666666666666664,73.8,33.44,23.266666666666666,41.6,13.933333333333334,0,2.0,3.0,4.0,1.0,2.0,4.0
345,6736,2019-12-10,MIL,21,3,110,31,21,28,30,46.7,53.3,39.0,30,54,14,1,120.66666666666667,29.142857142857142,29.761904761904763,30.523809523809526,31.0,49.05238095238096,70.13809523809523,36.24285714285715,26.476190476190474,51.714285714285715,14.380952380952381,122.0909090909091,49.73636363636364,67.62727272727274,37.83636363636363,28.90909090909091,51.09090909090909,14.090909090909092,ORL,11,12,101,102.36363636363636,26.59090909090909,25.818181818181817,24.727272727272727,25.227272727272727,43.545454545454554,75.64999999999999,33.32272727272727,22.136363636363637,45.13636363636363,13.363636363636363,103.0,43.25,77.97,32.88,20.9,43.6,13.0,1,2.0,3.0,5.0,0.0,0.0,2.0
346,6737,2019-12-10,NOP,6,18,103,29,24,21,29,44.0,68.2,21.1,24,45,12,1,113.77272727272727,29.681818181818183,27.545454545454547,28.227272727272727,27.772727272727273,45.422727272727265,73.97727272727273,36.586363636363636,24.636363636363637,43.81818181818182,15.954545454545455,113.36363636363636,45.300000000000004,72.89999999999999,37.11818181818182,25.636363636363637,43.72727272727273,15.727272727272727,DET,10,14,105,109.42307692307692,29.0,27.26923076923077,25.615384615384617,27.346153846153847,46.83846153846154,73.04615384615383,39.323076923076925,24.5,43.30769230769231,14.884615384615385,105.27272727272727,45.07272727272727,71.69090909090909,36.71818181818182,24.727272727272727,42.45454545454545,15.545454545454545,0,0.0,0.0,0.0,1.0,2.0,4.0
347,6738,2019-12-10,PHX,11,12,125,33,28,33,31,49.5,78.9,40.0,31,42,9,1,114.31818181818181,29.454545454545453,26.90909090909091,28.40909090909091,28.363636363636363,46.21818181818182,80.51363636363635,35.599999999999994,27.59090909090909,42.68181818181818,13.545454545454545,116.25,47.38333333333333,80.15833333333333,37.0,27.166666666666668,42.166666666666664,13.583333333333334,MIN,10,13,109,114.3913043478261,28.26086956521739,28.26086956521739,28.869565217391305,27.26086956521739,44.48260869565217,74.64347826086956,33.41304347826087,24.695652173913043,46.65217391304348,14.391304347826088,119.08333333333333,46.78333333333334,75.27499999999999,37.925,25.75,43.5,14.916666666666666,1,0.0,0.0,0.0,2.0,3.0,3.0
348,6739,2019-12-10,UTA,13,11,90,24,23,21,22,40.4,83.3,25.8,19,48,14,1,108.41666666666667,26.916666666666668,26.083333333333332,28.416666666666668,27.0,46.67083333333334,76.60833333333336,38.30416666666667,22.125,45.916666666666664,15.833333333333334,112.0,48.841666666666676,77.03333333333333,40.06666666666666,22.166666666666668,47.083333333333336,16.5,OKC,11,12,104,110.9090909090909,27.5,28.181818181818183,27.5,26.954545454545453,47.73181818181818,78.85000000000001,38.463636363636354,21.727272727272727,42.45454545454545,13.181818181818182,107.1,45.88,80.27,37.279999999999994,19.2,42.7,12.1,0,1.0,2.0,4.0,0.0,1.0,1.0
349,6740,2019-12-10,GSW,5,20,102,20,27,32,23,37.6,84.0,40.7,23,46,15,1,106.17391304347827,25.434782608695652,27.217391304347824,26.695652173913043,25.956521739130434,43.6695652173913,82.66521739130435,33.73478260869565,24.391304347826086,42.91304347826087,14.217391304347826,107.9,44.65,82.27000000000001,37.13,25.9,42.5,14.0,MEM,7,16,110,109.5909090909091,28.90909090909091,26.227272727272727,26.272727272727273,27.545454545454547,45.768181818181816,76.08181818181818,34.48181818181817,26.181818181818183,45.27272727272727,15.590909090909092,106.36363636363636,44.93636363636364,77.62727272727274,34.82727272727273,25.818181818181817,42.45454545454545,15.636363636363637,0,1.0,1.0,1.0,2.0,2.0,3.0
350,6741,2019-12-11,CHA,10,16,114,28,25,29,32,44.7,78.6,39.0,22,48,13,1,105.34782608695652,28.217391304347824,27.304347826086957,25.652173913043477,23.782608695652176,44.47391304347826,76.68260869565218,36.18260869565216,24.347826086956523,41.69565217391305,15.347826086956522,106.07142857142857,44.34285714285714,75.03571428571429,36.16428571428572,25.071428571428573,41.57142857142857,15.857142857142858,WAS,7,16,107,116.5,28.681818181818183,30.772727272727273,28.272727272727273,28.272727272727273,47.62727272727273,80.05454545454546,36.381818181818176,27.09090909090909,41.59090909090909,14.181818181818182,115.5,46.19166666666667,82.61666666666666,35.025,27.583333333333332,41.5,13.083333333333334,1,0.0,1.0,2.0,2.0,3.0,4.0
351,6742,2019-12-11,PHI,18,7,97,26,29,28,14,41.6,68.8,33.3,24,49,15,1,109.30434782608695,29.217391304347824,27.130434782608695,27.869565217391305,25.08695652173913,46.61739130434783,74.13478260869566,36.35217391304347,26.73913043478261,46.21739130434783,15.478260869565217,112.18181818181819,49.309090909090905,76.9909090909091,36.981818181818184,27.818181818181817,48.0,15.272727272727273,DEN,14,8,92,105.91304347826087,25.91304347826087,26.0,26.304347826086957,26.391304347826086,44.30434782608695,76.32608695652173,33.143478260869564,25.391304347826086,46.21739130434783,13.26086956521739,104.58333333333333,42.78333333333333,78.38333333333334,36.08333333333333,24.083333333333332,46.25,14.0,1,2.0,3.0,5.0,2.0,2.0,3.0
352,6743,2019-12-11,MIA,18,6,135,36,30,27,24,51.5,68.2,34.1,35,53,11,1,111.6,28.68,28.4,25.72,26.2,46.75599999999999,77.148,37.756,25.0,44.92,15.84,118.9090909090909,48.95454545454545,79.89999999999999,40.78181818181818,26.272727272727273,46.18181818181818,17.181818181818183,ATL,6,18,121,108.54545454545455,24.818181818181817,28.09090909090909,27.0,27.90909090909091,45.73636363636364,75.50454545454546,31.83636363636364,23.818181818181817,43.18181818181818,16.772727272727273,110.5,45.00999999999999,80.58000000000001,32.53,24.6,41.4,16.0,1,2.0,3.0,4.0,1.0,2.0,4.0
353,6744,2019-12-11,POR,10,15,115,32,28,26,29,43.3,83.3,41.5,20,58,12,1,114.17391304347827,27.47826086956522,27.391304347826086,29.47826086956522,28.391304347826086,45.68695652173913,82.51304347826088,34.904347826086955,19.608695652173914,46.69565217391305,13.043478260869565,117.16666666666667,46.025000000000006,84.88333333333333,38.21666666666667,19.666666666666668,47.0,13.166666666666666,NYK,4,20,87,99.5,23.90909090909091,25.363636363636363,25.636363636363637,24.59090909090909,42.11363636363637,67.1590909090909,35.39090909090908,20.454545454545453,44.31818181818182,15.090909090909092,100.7,41.910000000000004,68.87,37.99,20.1,43.3,14.5,1,0.0,1.0,3.0,2.0,2.0,3.0
354,6745,2019-12-12,CLE,5,19,110,29,28,25,28,51.7,62.5,40.6,29,36,15,1,102.43478260869566,25.434782608695652,24.17391304347826,26.0,26.82608695652174,43.29565217391305,75.29565217391306,33.013043478260876,21.08695652173913,44.34782608695652,14.26086956521739,104.5,44.478571428571435,73.8,35.95,22.428571428571427,44.285714285714285,14.357142857142858,HOU,16,8,116,120.04347826086956,28.347826086956523,32.0,30.17391304347826,28.73913043478261,45.14782608695651,78.41304347826087,33.504347826086956,22.956521739130434,47.869565217391305,15.608695652173912,119.81818181818181,44.43636363636364,78.10000000000001,33.96363636363636,22.181818181818183,46.27272727272727,17.0,0,0.0,0.0,0.0,1.0,2.0,3.0
355,6746,2019-12-12,IND,16,9,122,30,31,23,38,48.2,83.3,40.0,27,36,10,1,110.2,26.16,28.36,28.4,26.56,48.395999999999994,80.024,37.912000000000006,25.32,42.24,13.16,111.45454545454545,47.190909090909095,81.27272727272727,33.52727272727273,24.181818181818183,46.63636363636363,14.0,BOS,17,6,117,113.54545454545455,26.0,27.59090909090909,30.045454545454547,29.59090909090909,46.58636363636364,78.88181818181819,36.92727272727273,24.181818181818183,45.31818181818182,12.272727272727273,109.8,44.730000000000004,75.14000000000001,33.290000000000006,23.8,45.5,12.9,1,1.0,2.0,4.0,1.0,2.0,3.0
356,6747,2019-12-12,ORL,11,13,87,9,29,27,22,42.0,64.7,30.8,20,41,14,1,102.30434782608695,26.304347826086957,25.565217391304348,25.08695652173913,25.347826086956523,43.30434782608696,75.87391304347825,33.27826086956521,22.217391304347824,45.08695652173913,13.304347826086957,101.83333333333333,43.791666666666664,73.71666666666668,33.69166666666667,23.166666666666668,46.416666666666664,13.666666666666666,LAL,22,3,96,114.58333333333333,29.583333333333332,29.166666666666668,29.333333333333332,25.833333333333332,48.64583333333332,74.00416666666666,36.49583333333333,26.291666666666668,45.291666666666664,14.166666666666666,115.26666666666667,48.68,70.23333333333333,37.63333333333333,25.266666666666666,44.06666666666667,13.4,0,2.0,2.0,2.0,0.0,0.0,0.0
357,6748,2019-12-12,TOR,16,8,92,32,14,25,21,35.2,88.0,22.2,21,47,18,1,111.65217391304348,26.73913043478261,27.652173913043477,29.956521739130434,26.652173913043477,45.047826086956526,79.78260869565217,38.06956521739131,24.869565217391305,45.73913043478261,14.434782608695652,116.6,46.849999999999994,79.95000000000002,38.92,26.8,46.1,13.6,LAC,19,7,112,113.48,26.72,29.84,27.6,28.92,44.891999999999996,76.848,34.088,22.8,49.6,14.48,111.3076923076923,44.315384615384616,77.16153846153847,34.57692307692308,23.0,47.38461538461539,13.692307692307692,0,0.0,1.0,3.0,0.0,1.0,2.0
358,6749,2019-12-12,BKN,13,11,108,34,30,22,22,43.2,66.7,26.3,20,52,12,1,115.36363636363636,28.227272727272727,30.5,28.818181818181817,26.045454545454547,46.32727272727273,74.66363636363637,37.48636363636363,24.863636363636363,47.5,15.909090909090908,115.27272727272727,47.32727272727273,70.12727272727274,39.7,24.727272727272727,48.09090909090909,18.272727272727273,CHA,11,16,113,105.70833333333333,28.208333333333332,27.208333333333332,25.791666666666668,24.125,44.48333333333333,76.7625,36.29999999999999,24.25,41.958333333333336,15.25,104.22222222222223,44.67777777777778,79.24444444444444,36.211111111111116,23.22222222222222,41.888888888888886,14.555555555555555,0,1.0,2.0,3.0,1.0,2.0,4.0
359,6750,2019-12-12,CHI,9,17,136,37,29,40,30,57.4,89.5,45.8,32,42,13,1,104.6923076923077,26.576923076923077,25.46153846153846,26.884615384615383,25.46153846153846,43.30384615384615,73.66923076923078,34.03461538461538,22.846153846153847,42.38461538461539,14.461538461538462,102.07692307692308,42.70769230769229,72.25384615384615,33.176923076923075,23.153846153846153,44.53846153846154,15.76923076923077,ATL,6,19,102,109.08695652173913,25.043478260869566,28.347826086956523,27.217391304347824,27.608695652173914,45.80869565217392,74.87826086956522,32.060869565217395,24.08695652173913,42.91304347826087,16.52173913043478,111.45454545454545,45.22727272727272,78.80909090909091,32.93636363636364,25.09090909090909,41.0,15.545454545454545,1,0.0,1.0,1.0,1.0,2.0,4.0
360,6751,2019-12-12,MIN,10,14,116,23,36,24,33,44.0,80.8,36.6,18,42,11,1,114.16666666666667,28.375,28.458333333333332,28.541666666666668,27.125,44.59166666666666,74.83749999999999,33.15833333333333,24.25,46.583333333333336,14.458333333333334,109.27272727272727,41.97272727272727,73.95454545454545,28.490909090909096,23.545454545454547,50.09090909090909,13.818181818181818,UTA,14,11,127,107.68,26.8,25.96,28.12,26.8,46.42000000000001,76.87600000000003,37.804,22.0,46.0,15.76,104.83333333333333,44.5,76.18333333333332,36.541666666666664,22.083333333333332,44.75,15.166666666666666,0,0.0,0.0,0.0,2.0,2.0,4.0
361,6752,2019-12-12,PHX,11,13,108,19,32,28,29,39.8,83.3,26.5,29,44,12,1,114.78260869565217,29.608695652173914,26.956521739130434,28.608695652173914,28.47826086956522,46.3608695652174,80.44347826086955,35.791304347826085,27.73913043478261,42.65217391304348,13.347826086956522,116.92307692307692,47.54615384615385,80.06153846153846,37.23076923076923,27.46153846153846,42.15384615384615,13.23076923076923,MEM,8,16,115,109.6086956521739,28.91304347826087,26.17391304347826,26.608695652173914,27.304347826086957,45.95217391304348,76.1,34.61304347826086,26.304347826086957,45.130434782608695,15.695652173913043,106.66666666666667,45.35833333333333,77.53333333333335,35.050000000000004,26.083333333333332,42.416666666666664,15.833333333333334,0,1.0,1.0,1.0,1.0,2.0,3.0
362,6753,2019-12-12,MIL,22,3,127,35,34,36,22,53.8,88.9,48.7,27,43,14,1,120.18181818181819,29.227272727272727,29.363636363636363,30.40909090909091,30.954545454545453,48.94545454545455,69.37272727272726,36.36818181818182,26.636363636363637,51.81818181818182,14.363636363636363,121.08333333333333,49.48333333333334,66.43333333333334,37.93333333333333,29.0,51.333333333333336,14.083333333333334,NOP,6,19,112,113.30434782608695,29.652173913043477,27.391304347826086,27.91304347826087,27.82608695652174,45.36086956521738,73.72608695652174,35.91304347826087,24.608695652173914,43.869565217391305,15.782608695652174,114.18181818181819,45.54545454545455,75.05454545454546,36.05454545454545,23.636363636363637,43.90909090909091,16.181818181818183,1,2.0,3.0,5.0,2.0,3.0,4.0
363,6754,2019-12-12,SAC,11,13,94,23,15,31,25,44.3,60.0,32.3,12,41,15,1,105.69565217391305,26.26086956521739,27.217391304347824,25.869565217391305,25.391304347826086,44.482608695652175,75.40434782608698,33.165217391304346,22.782608695652176,42.0,14.08695652173913,104.57142857142857,43.942857142857136,77.27142857142856,30.97142857142857,21.571428571428573,43.57142857142857,15.142857142857142,OKC,11,13,93,110.6086956521739,27.391304347826086,28.08695652173913,27.782608695652176,26.608695652173914,47.70434782608695,79.08260869565218,38.03478260869564,21.695652173913043,42.608695652173914,13.043478260869565,106.81818181818181,45.99090909090909,80.62727272727273,36.49090909090909,19.363636363636363,43.0,11.909090909090908,1,1.0,2.0,3.0,0.0,0.0,1.0
364,6755,2019-12-12,GSW,5,21,122,20,30,30,32,43.3,73.3,27.0,27,46,8,1,106.0,25.208333333333332,27.208333333333332,26.916666666666668,25.833333333333332,43.416666666666664,82.72083333333333,34.025000000000006,24.333333333333332,43.041666666666664,14.25,107.36363636363636,44.00909090909091,82.42727272727274,37.45454545454545,25.636363636363637,42.81818181818182,14.090909090909092,NYK,5,20,124,98.95652173913044,23.82608695652174,25.08695652173913,25.304347826086957,24.73913043478261,41.81304347826087,66.91304347826087,34.65217391304348,20.26086956521739,44.43478260869565,14.91304347826087,99.45454545454545,41.300000000000004,68.2,36.20909090909091,19.727272727272727,43.63636363636363,14.181818181818182,0,1.0,1.0,1.0,2.0,3.0,4.0
365,6756,2019-12-13,BOS,17,7,109,34,25,21,29,46.2,82.4,35.5,24,33,6,1,113.69565217391305,26.26086956521739,27.47826086956522,30.347826086956523,29.304347826086957,46.70869565217392,78.81304347826087,37.013043478260876,24.217391304347824,45.26086956521739,12.391304347826088,116.66666666666667,48.13333333333333,82.0,39.958333333333336,24.5,45.166666666666664,11.75,PHI,19,7,115,108.79166666666667,29.083333333333332,27.208333333333332,27.875,24.625,46.40833333333333,73.91250000000001,36.224999999999994,26.625,46.333333333333336,15.458333333333334,106.66666666666667,44.15,71.51666666666668,35.775,25.75,44.583333333333336,15.666666666666666,0,2.0,3.0,5.0,1.0,2.0,3.0
366,6757,2019-12-13,SAS,9,15,109,19,24,25,35,48.8,80.0,31.2,19,36,12,1,110.78260869565217,25.91304347826087,28.347826086956523,29.08695652173913,26.347826086956523,46.0695652173913,79.52608695652175,35.07826086956521,24.347826086956523,45.52173913043478,13.565217391304348,111.14285714285714,45.12857142857144,81.44285714285714,34.76428571428571,26.142857142857142,48.285714285714285,14.0,CLE,6,19,117,102.75,25.583333333333332,24.333333333333332,25.958333333333332,26.875,43.64583333333334,74.76250000000002,33.32916666666667,21.416666666666668,44.0,14.291666666666666,99.22222222222223,41.455555555555556,77.62222222222222,28.444444444444443,19.0,44.44444444444444,14.11111111111111,0,2.0,3.0,3.0,2.0,3.0,4.0
367,6758,2019-12-13,DET,10,15,111,29,29,27,26,44.9,69.6,35.7,23,34,7,1,109.25925925925925,28.85185185185185,27.074074074074073,25.925925925925927,27.22222222222222,46.67407407407408,73.35925925925925,39.02962962962964,24.14814814814815,43.407407407407405,15.0,112.46666666666667,48.133333333333326,74.03999999999999,41.233333333333334,24.333333333333332,43.93333333333333,14.4,DAL,17,7,122,117.63636363636364,29.681818181818183,30.454545454545453,29.636363636363637,27.545454545454547,46.13636363636363,76.22272727272725,36.440909090909095,23.772727272727273,47.36363636363637,11.954545454545455,121.45454545454545,46.92727272727273,73.64545454545454,38.68181818181818,25.0,46.81818181818182,10.181818181818182,0,1.0,2.0,3.0,0.0,0.0,1.0
368,6759,2019-12-13,DEN,15,8,114,33,29,27,25,47.7,63.2,50.0,25,48,10,1,105.33333333333333,25.958333333333332,25.875,26.291666666666668,25.958333333333332,44.270833333333336,76.96666666666665,32.84166666666666,25.541666666666668,45.875,13.25,107.36363636363636,45.96363636363637,74.08181818181819,29.936363636363637,26.818181818181817,46.18181818181818,12.454545454545455,POR,10,16,99,114.20833333333333,27.666666666666668,27.416666666666668,29.333333333333332,28.416666666666668,45.5875,82.54583333333333,35.17916666666667,19.625,47.166666666666664,13.0,110.9090909090909,45.31818181818182,79.92727272727274,31.290909090909086,19.545454545454547,46.36363636363637,12.909090909090908,1,1.0,2.0,4.0,1.0,2.0,4.0
369,6760,2019-12-14,ORL,11,14,107,22,33,23,29,44.0,75.0,40.5,24,37,6,1,101.66666666666667,25.583333333333332,25.708333333333332,25.166666666666668,25.208333333333332,43.25,75.40833333333333,33.17499999999999,22.125,44.916666666666664,13.333333333333334,100.6923076923077,43.65384615384615,73.02307692307694,33.46923076923077,22.923076923076923,46.0,13.692307692307692,HOU,17,8,130,119.875,28.625,31.875,29.916666666666668,28.708333333333332,45.324999999999996,79.3125,33.795833333333334,22.75,47.375,15.5,119.5,44.85,79.925,34.50833333333333,21.833333333333332,45.416666666666664,16.666666666666668,0,1.0,2.0,2.0,0.0,1.0,3.0
370,6761,2019-12-14,PHI,20,7,116,39,23,30,24,49.4,67.6,35.0,24,47,9,1,109.04,29.04,27.24,27.76,25.0,46.552,74.26,36.775999999999996,26.64,46.28,15.28,110.91666666666667,48.666666666666664,76.30833333333334,36.675000000000004,27.5,48.083333333333336,15.25,NOP,6,20,109,113.25,29.25,27.333333333333332,28.416666666666668,27.75,45.316666666666656,74.0625,35.9,24.791666666666668,43.791666666666664,16.0,114.0,45.44166666666666,75.61666666666666,36.01666666666666,24.083333333333332,43.75,16.583333333333332,1,2.0,3.0,5.0,2.0,3.0,5.0
