,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
61,6451,2019-10-31,OKC,1,4,99,17,27,25,30,39.5,70.8,48.6,19,49,17,1
62,6452,2019-10-31,UTA,4,1,110,33,19,38,20,55.0,68.8,45.8,23,36,14,1
63,6453,2019-10-31,SAC,0,5,111,33,33,18,27,45.8,75.0,30.4,26,39,15,1
64,6454,2019-10-31,GSW,1,3,110,14,32,21,43,43.9,83.3,28.6,24,43,18,1
65,6455,2019-10-31,ATL,2,3,97,26,20,29,22,40.9,69.2,20.6,20,50,16,1
66,6456,2019-11-01,NOP,1,4,122,32,24,30,36,53.2,78.1,45.5,30,37,15,1
67,6457,2019-11-01,LAC,4,2,103,23,27,30,23,42.9,74.1,19.2,16,47,11,1
68,6458,2019-11-01,BKN,2,3,123,24,37,34,28,49.4,71.4,59.4,26,55,20,1
69,6459,2019-11-01,IND,2,3,102,19,23,26,34,40.6,90.5,18.5,20,57,12,1
70,6460,2019-11-01,ORL,2,3,91,27,14,30,20,37.4,64.7,32.4,21,40,16,1
71,6461,2019-11-01,BOS,4,1,104,22,27,26,29,44.6,93.1,32.4,21,44,14,1
72,6462,2019-11-02,CHI,2,4,112,30,27,29,26,43.8,78.3,40.0,29,42,17,1
73,6463,2019-11-02,DAL,3,2,110,25,33,27,18,39.2,69.6,38.9,23,61,22,1
74,6464,2019-11-02,SAC,1,5,102,28,23,30,21,48.8,70.6,27.6,15,38,16,1
75,6465,2019-11-02,GSW,1,4,110,28,27,31,24,46.4,90.5,46.4,25,39,11,1
76,6466,2019-11-02,OKC,2,4,115,33,32,29,21,45.6,78.3,40.5,20,44,12,1
77,6467,2019-11-02,DET,3,4,113,33,13,32,35,45.1,79.3,29.6,21,41,8,1
78,6468,2019-11-02,ORL,2,4,87,26,19,18,24,43.0,63.6,20.7,22,47,15,1
79,6469,2019-11-03,WAS,1,4,109,34,22,16,37,38.9,85.2,34.3,21,39,17,1
80,6470,2019-11-03,MEM,1,4,105,24,23,22,36,48.8,63.2,32.1,26,46,20,1
81,6471,2019-11-03,MIL,4,2,115,36,30,29,20,46.1,80.0,34.2,30,51,11,1
82,6472,2019-11-03,GSW,1,5,87,30,25,16,16,44.2,76.9,32.1,23,40,18,1
83,6473,2019-11-03,POR,3,3,128,32,36,34,26,57.7,76.0,55.9,21,36,18,1
84,6474,2019-11-03,IND,3,3,108,24,31,31,22,47.1,74.1,30.8,28,49,16,1
85,6475,2019-11-03,MIA,5,1,129,46,25,28,30,52.8,77.3,43.9,38,46,15,1
86,6476,2019-11-03,NYK,1,6,92,23,18,23,28,40.0,64.5,25.8,18,38,13,1
87,6477,2019-11-04,SAS,4,2,96,25,18,29,24,39.8,82.8,24.0,23,47,17,1
